category,name,description,status,price_ars,price_cents,source_page,raw_line
CACAO EN POLVO,VARIOS CACAO EN POLVO BARRY - FRACCIONADO POR KG,,priced,20000.0,2000000,2,"VARIOS CACAO EN POLVO BARRY - FRACCIONADO POR KG $20.000,00"
CACAO EN POLVO,ALSOL CACAO EN POLVO NEGRO OREO- FRACCIONADO POR 1/2 KG,,priced,20000.0,2000000,2,"ALSOL CACAO EN POLVO NEGRO OREO- FRACCIONADO POR 1/2 KG $20.000,00"
CACAO EN POLVO,SOCAU CACAO EN POLVO SOCAU,,priced,16000.0,1600000,2,"SOCAU CACAO EN POLVO SOCAU $16.000,00"
COBERTURAS,ÁGUILA ÁGUILA TABLETEADO BLANCO (CÓD. 9979) - CAJA 5 KG,,priced,160000.0,16000000,2,"ÁGUILA ÁGUILA TABLETEADO BLANCO (CÓD. 9979) - CAJA 5 KG $160.000,00"
COBERTURAS,ÁGUILA ÁGUILA TABLETEADO SEMIAMARGO (CÓD. 9985) - CAJA 5 KG,,priced,112000.0,11200000,2,"ÁGUILA ÁGUILA TABLETEADO SEMIAMARGO (CÓD. 9985) - CAJA 5 KG $112.000,00"
COBERTURAS,PICOS DEL SUR CHOCOLATE DE COBERTURA PICOS DEL SUR (CÓD. 9419) A GRANEL CON LECHE - CAJA 5 KG,,sin_stock,,,2,PICOS DEL SUR CHOCOLATE DE COBERTURA PICOS DEL SUR (CÓD. 9419) A GRANEL CON LECHE - CAJA 5 KG SIN STOCK
COBERTURAS,PICOS DEL SUR CHOCOLATE DE COBERTURA PICOS DEL SUR (CÓD. 9420) A GRANEL BLANCO - CAJA 5 KG,,sin_stock,,,2,PICOS DEL SUR CHOCOLATE DE COBERTURA PICOS DEL SUR (CÓD. 9420) A GRANEL BLANCO - CAJA 5 KG SIN STOCK
COBERTURAS,PICOS DEL SUR CHOCOLATE DE COBERTURA PICOS DEL SUR (CÓD. 9427) A GRANEL SEMI AMARGO - CAJA 5 KG,,sin_stock,,,2,PICOS DEL SUR CHOCOLATE DE COBERTURA PICOS DEL SUR (CÓD. 9427) A GRANEL SEMI AMARGO - CAJA 5 KG SIN STOCK
CONFITES DE CHOCOLATE,ROCKLETS CONFITES ROCKLETS - CAJA 10 KG,,priced,190000.0,19000000,2,"ROCKLETS CONFITES ROCKLETS - CAJA 10 KG $190.000,00"
CONFITES DE CHOCOLATE,ROCKLETS MINI CONFITES ROCKLETS - CAJA 9 KG,,priced,171000.0,17100000,2,"ROCKLETS MINI CONFITES ROCKLETS - CAJA 9 KG $171.000,00"
CONFITES DE CHOCOLATE,ROCKLETS CONFITES ROCKLETS - 1 KG,,priced,19000.0,1900000,2,"ROCKLETS CONFITES ROCKLETS - 1 KG $19.000,00"
CONFITES DE CHOCOLATE,ROCKLETS MINI CONFITES ROCKLETS - 1 KG,,priced,19000.0,1900000,2,"ROCKLETS MINI CONFITES ROCKLETS - 1 KG $19.000,00"
PARA DECORAR,FILECHOC FILECHOC BLANCO - BALDE 3 KG,,priced,31000.0,3100000,2,"FILECHOC FILECHOC BLANCO - BALDE 3 KG $31.000,00"
PARA DECORAR,FILECHOC FILECHOC SEMIAMARGO - BALDE 3 KG,,priced,31000.0,3100000,2,"FILECHOC FILECHOC SEMIAMARGO - BALDE 3 KG $31.000,00"
PARA DECORAR,MAPSA MICROGOTAS MAPSA CHOCOLATE SEMIAMARGO - CAJA 3 KG,,priced,24000.0,2400000,2,"MAPSA MICROGOTAS MAPSA CHOCOLATE SEMIAMARGO - CAJA 3 KG $24.000,00"
PARA DECORAR,MAPSA MICROGOTAS MAPSA CHOCOLATE BLANCO - CAJA 3 KG,,priced,24000.0,2400000,2,"MAPSA MICROGOTAS MAPSA CHOCOLATE BLANCO - CAJA 3 KG $24.000,00"
ESENCIAS,DEWEY COLAROMA DEWEY CAFÉ SENSACIONES - BIDÓN 1 L,,priced,9800.0,980000,2,"DEWEY COLAROMA DEWEY CAFÉ SENSACIONES - BIDÓN 1 L $9.800,00"
ESENCIAS,DEWEY COLAROMA DEWEY LIMÓN SENSACIONES - BIDÓN 1 L,,priced,9800.0,980000,2,"DEWEY COLAROMA DEWEY LIMÓN SENSACIONES - BIDÓN 1 L $9.800,00"
ESENCIAS,DEWEY COLAROMA DEWEY MANTECA SENSACIONES - POTE 1 L,,priced,9800.0,980000,2,"DEWEY COLAROMA DEWEY MANTECA SENSACIONES - POTE 1 L $9.800,00"
ESENCIAS,DEWEY COLAROMA DEWEY CHOCOLATE SENSACIONES - POTE 1 L,,priced,9800.0,980000,2,"DEWEY COLAROMA DEWEY CHOCOLATE SENSACIONES - POTE 1 L $9.800,00"
ESENCIAS,DEWEY COLAROMA DEWEY NARANJA SENSACIONES - BIDÓN 1 L,,priced,9800.0,980000,2,"DEWEY COLAROMA DEWEY NARANJA SENSACIONES - BIDÓN 1 L $9.800,00"
